city,lat,lng,country,iso2,county,capital,population,population_proper
Cill Bheagáin,53.3636,-7.4985,Ireland,IE,Westmeath,,1575,1575
Portraine,53.4934,-6.1146,Ireland,IE,Fingal,,1532,1532
Clifden,53.489,-10.021,Ireland,IE,Galway,,1497,1497
Caherconlish,52.5936,-8.4703,Ireland,IE,Limerick,,1476,1476
Castledermot,52.912,-6.8376,Ireland,IE,Kildare,,1475,1475
Graiguenamanagh,52.54,-6.955,Ireland,IE,Kilkenny,,1475,1475
Droichead Chaisleán Loiste,53.416,-7.296,Ireland,IE,Westmeath,,1473,1473
Manorhamilton,54.3064,-8.1761,Ireland,IE,Leitrim,,1466,1466
Slane,53.7086,-6.5434,Ireland,IE,Meath,,1445,1445
Rathkeale,52.5167,-8.9333,Ireland,IE,Limerick,,1441,1441
Ardnacrusha,52.7083,-8.6122,Ireland,IE,Clare,,1414,1414
Stradbally,53.017,-7.153,Ireland,IE,Laois,,1404,1404
Belturbet,54.1,-7.45,Ireland,IE,Cavan,,1395,1395
Swinford,53.9417,-8.95,Ireland,IE,Mayo,,1394,1394
Moville,55.1889,-7.0406,Ireland,IE,Donegal,,1390,1390
Moroe,52.65,-8.4,Ireland,IE,Limerick,,1377,1377
Ferbane,53.2707,-7.8284,Ireland,IE,Offaly,,1324,1324
Foxford,53.981,-9.114,Ireland,IE,Mayo,,1315,1315
Cahersiveen,51.948,-10.224,Ireland,IE,Kerry,,1297,1297
Inishcrone,54.213,-9.0933,Ireland,IE,Sligo,,1291,1291
Killybegs,54.6361,-8.4444,Ireland,IE,Donegal,,1280,1280
Rathdowney,52.8554,-7.5848,Ireland,IE,Laois,,1271,1271
Kilpedder,53.1136,-6.1049,Ireland,IE,Wicklow,,1255,1255
Ballybay,54.1293,-6.9029,Ireland,IE,Monaghan,,1241,1241
Kilmacanoge,53.168,-6.138,Ireland,IE,Wicklow,,1240,1240
Headford,53.4691,-9.1068,Ireland,IE,Galway,,1235,1235
Daingean,53.295,-7.292,Ireland,IE,Offaly,,1223,1223
Piltown,52.35,-7.3333,Ireland,IE,Kilkenny,,1220,1220
Clonee,53.4117,-6.4442,Ireland,IE,Meath,,1205,1205
Dromiskin,53.9223,-6.3988,Ireland,IE,Louth,,1195,1195
Athgarvan,53.153,-6.7782,Ireland,IE,Kildare,,1176,1176
Mooncoin,52.2956,-7.2594,Ireland,IE,Kilkenny,,1175,1175
Ballylynan,52.9436,-7.0422,Ireland,IE,Laois,,1167,1167
Dunglow,54.952,-8.358,Ireland,IE,Donegal,,1164,1164
Dunlavin,53.0556,-6.7039,Ireland,IE,Wicklow,,1150,1150
Askeaton,52.6001,-8.9772,Ireland,IE,Limerick,,1137,1137
Adare,52.564,-8.79,Ireland,IE,Limerick,,1129,1129
Baile an Ghearlánaigh,53.9,-6.3833,Ireland,IE,Louth,,1126,1126
Raphoe,54.8739,-7.6005,Ireland,IE,Donegal,,1089,1089
Ballyragget,52.7833,-7.3333,Ireland,IE,Kilkenny,,1082,1082
Newtown Cunningham,54.998,-7.514,Ireland,IE,Donegal,,1080,1080
Kiltamagh,53.8494,-9,Ireland,IE,Mayo,,1069,1069
Kilworth,52.1764,-8.2442,Ireland,IE,Cork,,1055,1055
Crossmolina,54.1,-9.3167,Ireland,IE,Mayo,,1044,1044
Urlingford,52.7203,-7.5826,Ireland,IE,Kilkenny,,1038,1038
Craughwell,53.2261,-8.7331,Ireland,IE,Galway,,1034,1034
Kinlough,54.45,-8.2833,Ireland,IE,Leitrim,,1032,1032
Aghada,51.8333,-8.2167,Ireland,IE,Cork,,1030,1030
Mohill,53.922,-7.866,Ireland,IE,Leitrim,,1027,1027
Kilmeage,53.2509,-6.8396,Ireland,IE,Kildare,,997,997
Coolaney,54.1781,-8.5997,Ireland,IE,Sligo,,990,990
Kilkee,52.679,-9.647,Ireland,IE,Clare,,972,972
Buttevant,52.2331,-8.6669,Ireland,IE,Cork,,970,970
Drommahane,52.1053,-8.6908,Ireland,IE,Cork,,959,959
Roundwood,53.0667,-6.2333,Ireland,IE,Wicklow,,948,948
Rathvilly,52.881,-6.695,Ireland,IE,Carlow,,944,944
Borrisokane,52.996,-8.1277,Ireland,IE,Tipperary,,942,942
Tinahely,52.8,-6.4667,Ireland,IE,Wicklow,,937,937
Kilcormac,53.1742,-7.7256,Ireland,IE,Offaly,,935,935
Droim Lis,53.8205,-7.7685,Ireland,IE,Longford,,931,931
Béal an Átha Móir,54.052,-7.802,Ireland,IE,Leitrim,,914,914
Inishannon,51.7653,-8.6569,Ireland,IE,Cork,,907,907
Killeagh,51.942,-7.992,Ireland,IE,Cork,,899,899
Collann,53.7787,-6.4812,Ireland,IE,Louth,,896,896
An Lios Breac,53.7679,-7.8336,Ireland,IE,Longford,,851,851
Patrickswell,52.5952,-8.7122,Ireland,IE,Limerick,,848,848
Milltown Malbay,52.85,-9.4,Ireland,IE,Clare,,829,829
Lisdoonvarna,53.0303,-9.2894,Ireland,IE,Clare,,829,829
Belgooly,51.7392,-8.4856,Ireland,IE,Cork,,826,826
Glenties,54.7975,-8.2825,Ireland,IE,Donegal,,805,805
Gowran,52.6292,-7.0667,Ireland,IE,Kilkenny,,804,804
Bruff,52.477,-8.55,Ireland,IE,Limerick,,803,803
Mount Bellew Bridge,53.47,-8.5,Ireland,IE,Galway,,774,774
Killenaule,52.5684,-7.6734,Ireland,IE,Tipperary,,755,755
Kilmacrenan,55.0297,-7.7787,Ireland,IE,Donegal,,753,753
Ardfert,52.35,-9.6833,Ireland,IE,Kerry,,749,749
Ballyconnell,54.1167,-7.5833,Ireland,IE,Cavan,,747,747
Bennettsbridge,52.6,-7.1833,Ireland,IE,Kilkenny,,745,745
Delvin,53.6106,-7.0925,Ireland,IE,Westmeath,,740,740
Avoca,52.85,-6.2167,Ireland,IE,Wicklow,,734,734
Kinvarra,53.139,-8.938,Ireland,IE,Galway,,721,721
Holycross,52.6396,-7.8666,Ireland,IE,Tipperary,,715,715
Cloonlara,52.72,-8.55,Ireland,IE,Clare,,713,713
Kildalkey,53.5703,-6.9031,Ireland,IE,Meath,,708,708
Emyvale,54.3419,-6.9585,Ireland,IE,Monaghan,,701,701
Skull,51.5266,-9.5481,Ireland,IE,Cork,,700,700
Rosbercon,52.3956,-6.9451,Ireland,IE,Wexford,,699,699
Calverstown,53.0825,-6.798,Ireland,IE,Kildare,,699,699
Cappoquin,52.15,-7.85,Ireland,IE,Waterford,,699,699
Ballymore Eustace,53.1337,-6.6144,Ireland,IE,Kildare,,689,689
Johnstown Bridge,53.402,-6.8554,Ireland,IE,Kildare,,683,683
Crinkill,53.08,-7.8985,Ireland,IE,Offaly,,682,682
Borrisoleigh,52.7521,-7.9563,Ireland,IE,Tipperary,,679,679
Manorcunningham,54.9533,-7.6212,Ireland,IE,Donegal,,675,675
Tallanstown,53.9196,-6.5479,Ireland,IE,Louth,,674,674
Knockbridge,53.97,-6.49,Ireland,IE,Louth,,667,667
Carlanstown,53.7594,-6.8408,Ireland,IE,Meath,,664,664
Clonmellon,53.6643,-7.0194,Ireland,IE,Westmeath,,664,664
Tulla,52.869,-8.76,Ireland,IE,Clare,,661,661
Béal Átha Ghártha,53.5167,-8.3167,Ireland,IE,Galway,,660,660
Ladysbridge,51.896,-8.036,Ireland,IE,Cork,,658,658
Kilmessan,53.5592,-6.6601,Ireland,IE,Meath,,654,654
Hacketstown,52.8639,-6.5569,Ireland,IE,Carlow,,653,653
Kilrane,52.2419,-6.3561,Ireland,IE,Wexford,,647,647
Shinrone,52.9842,-7.9247,Ireland,IE,Offaly,,645,645
Passage East,52.2391,-6.9727,Ireland,IE,Waterford,,634,634
Glanworth,52.187,-8.356,Ireland,IE,Cork,,628,628
Cappamore,52.6145,-8.3395,Ireland,IE,Limerick,,620,620
Cloghjordan,52.9403,-8.0356,Ireland,IE,Tipperary,,612,612
Pallaskenry,52.6444,-8.8675,Ireland,IE,Limerick,,610,610
Omeath,54.09,-6.2583,Ireland,IE,Louth,,603,603
Fahan,55.089,-7.4785,Ireland,IE,Donegal,,588,588
Bruree,52.4243,-8.662,Ireland,IE,Limerick,,580,580
Aherla,51.8572,-8.7389,Ireland,IE,Cork,,571,571
Naul,53.586,-6.29,Ireland,IE,Fingal,,568,568
Clonaslee,53.1488,-7.5253,Ireland,IE,Laois,,566,566
Kilkishen,52.8069,-8.7445,Ireland,IE,Clare,,561,561
Fieries,52.1706,-9.5978,Ireland,IE,Kerry,,558,558
Pettigoe,54.549,-7.831,Ireland,IE,Donegal,,557,557
Crusheen,52.9397,-8.8972,Ireland,IE,Clare,,543,543
Ballymurn,52.4411,-6.4747,Ireland,IE,Wexford,,524,524
Oldtown,53.5241,-6.316,Ireland,IE,Fingal,,523,523
Ballycanew,52.609,-6.31,Ireland,IE,Wexford,,516,516
Dromahair,54.2333,-8.3,Ireland,IE,Leitrim,,503,503
Mullinahone,52.512,-7.506,Ireland,IE,Tipperary,,499,499
Ballycotton,51.8269,-8.0031,Ireland,IE,Cork,,497,497
Rathmullan,55.0942,-7.5375,Ireland,IE,Donegal,,493,493
Mountcharles,54.65,-8.2,Ireland,IE,Donegal,,484,484
Ballinderreen,53.186,-8.908,Ireland,IE,Galway,,483,483
Slieveroe,52.2833,-7.0681,Ireland,IE,Kilkenny,,476,476
Bellanode,54.2691,-7.0338,Ireland,IE,Monaghan,,470,470
Castletownroche,52.1769,-8.4589,Ireland,IE,Cork,,454,454
Ballinagar,53.2666,-7.338,Ireland,IE,Offaly,,453,453
Campile,52.2833,-6.9333,Ireland,IE,Wexford,,448,448
Ballinakill,52.8742,-7.31,Ireland,IE,Laois,,445,445
Kilmihil,52.7214,-9.3206,Ireland,IE,Clare,,434,434
Garristown,53.5667,-6.3833,Ireland,IE,Fingal,,433,433
Shrule,53.5205,-9.0887,Ireland,IE,Mayo,,432,432
Ballincar,54.298,-8.5,Ireland,IE,Sligo,,424,424
Ventry,52.1334,-10.3665,Ireland,IE,Kerry,,423,423
Clondulane,52.1425,-8.2233,Ireland,IE,Cork,,417,417
Rockcorry,54.1167,-7.0167,Ireland,IE,Monaghan,,416,416
Ármhach,53.9167,-7.5833,Ireland,IE,Cavan,,411,411
Ballybrittas,53.1097,-7.1355,Ireland,IE,Laois,,388,388
Coolgreany,52.765,-6.234,Ireland,IE,Wexford,,376,376
Fiddown,52.3304,-7.3141,Ireland,IE,Kilkenny,,369,369
Goresbridge,52.6297,-6.9942,Ireland,IE,Kilkenny,,361,361
Kildorrery,52.2461,-8.4269,Ireland,IE,Cork,,357,357
Nobber,53.8211,-6.7467,Ireland,IE,Meath,,344,344
Cappagh White,52.5822,-8.1632,Ireland,IE,Tipperary,,343,343
Farran,51.8739,-8.72,Ireland,IE,Cork,,338,338
Riverstown,54.1317,-8.3944,Ireland,IE,Sligo,,334,334
Aglish,52.07,-7.825,Ireland,IE,Waterford,,333,333
Ballintogher,54.201,-8.365,Ireland,IE,Sligo,,331,331
Fedamore,52.5456,-8.605,Ireland,IE,Limerick,,329,329
Newbliss,54.158,-7.137,Ireland,IE,Monaghan,,327,327
Ballyporeen,52.2699,-8.1,Ireland,IE,Tipperary,,318,318
Ballylanders,52.3729,-8.3494,Ireland,IE,Limerick,,308,308
Durrus,51.62,-9.526,Ireland,IE,Cork,,305,305
Emly,52.4636,-8.3506,Ireland,IE,Tipperary,,302,302
Dunfanaghy,55.183,-7.971,Ireland,IE,Donegal,,298,298
Kilronan,53.1247,-9.6683,Ireland,IE,Galway,,297,297
Knockvicar Bridge,54.0011,-8.1931,Ireland,IE,Roscommon,,294,294
Myshall,52.6862,-6.7802,Ireland,IE,Carlow,,286,286
Castlemagner,52.1664,-8.8269,Ireland,IE,Cork,,281,281
Inis Caoin,54,-6.593,Ireland,IE,Monaghan,,273,273
Killavullen,52.1472,-8.515,Ireland,IE,Cork,,267,267
Spiddal,53.2442,-9.3059,Ireland,IE,Galway,,254,254
Tullaghan,54.4683,-8.3311,Ireland,IE,Leitrim,,253,253
Trim,53.555,-6.7917,Ireland,IE,Meath,,253,253
